Solar_data
Time,air_temperatures,wind_speeds,wind_directions,diffuse_horizontal_radiation,direct_beam_radiation,solar_reflectivity_of_ground
2012-01-01 18:00:00,1.0,3.9,9.4,0.0,0.0,0.2
2012-01-01 18:15:00,1.0,3.9499999999999997,9.575,0.0,0.0,0.2
2012-01-01 18:30:00,1.0,3.9999999999999996,9.75,0.0,0.0,0.2
2012-01-01 18:45:00,1.0,4.05,9.924999999999999,0.0,0.0,0.2
2012-01-01 19:00:00,1.0,4.1,10.1,0.0,0.0,0.2
2012-01-01 19:15:00,1.0,4.0249999999999995,10.275,0.0,0.0,0.20325000000000001
2012-01-01 19:30:00,1.0,3.9499999999999997,10.450000000000001,0.0,0.0,0.20650000000000002
2012-01-01 19:45:00,1.0,3.8749999999999996,10.625,0.0,0.0,0.20975
2012-01-01 20:00:00,1.0,3.8,10.8,0.0,0.0,0.213
2012-01-01 20:15:00,1.0,3.9,10.725000000000001,0.0,0.0,0.2165
2012-01-01 20:30:00,1.0,4.0,10.65,0.0,0.0,0.22
2012-01-01 20:45:00,1.0,4.1000000000000005,10.575000000000001,0.0,0.0,0.2235
2012-01-01 21:00:00,1.0,4.2,10.5,0.0,0.0,0.227
2012-01-01 21:15:00,1.0,4.2250000000000005,10.625,0.0,0.0,0.22525
2012-01-01 21:30:00,1.0,4.25,10.75,0.0,0.0,0.2235
2012-01-01 21:45:00,1.0,4.275,10.875,0.0,0.0,0.22175
2012-01-01 22:00:00,1.0,4.3,11.0,0.0,0.0,0.22
2012-01-01 22:15:00,1.0,4.25,11.425,0.0,0.0,0.225
2012-01-01 22:30:00,1.0,4.199999999999999,11.85,0.0,0.0,0.23
2012-01-01 22:45:00,1.0,4.1499999999999995,12.275,0.0,0.0,0.235
2012-01-01 23:00:00,1.0,4.1,12.7,0.0,0.0,0.24
2012-01-01 23:15:00,1.0,4.1,12.7,0.0,0.0,0.24
2012-01-01 23:30:00,1.0,4.1,12.7,0.0,0.0,0.24
2012-01-01 23:45:00,1.0,4.1,12.7,0.0,0.0,0.24
2012-01-02 00:00:00,1.0,4.1,12.7,0.0,0.0,0.24
2012-01-02 00:15:00,1.0,4.1,12.7,0.0,0.0,0.24
2012-01-02 00:30:00,1.0,4.1,12.7,0.0,0.0,0.24
2012-01-02 00:45:00,1.0,4.1,12.7,0.0,0.0,0.24
